protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark
udp,12.202.156.236,30301,10.0.0.4,5060,,
tcp,34.105.86.190,47463,10.0.0.4,7502,established,
udp,103.136.42.40,25692,10.0.0.4,5060,,
tcp,175.103.43.90,51041,10.0.0.4,4075,established,
udp,10.0.0.4,4500,20.205.36.71,4500,,
tcp,10.0.0.4,179,20.205.36.71,34788,established,
udp,175.103.43.90,4500,10.0.0.4,4500,,
udp,10.0.0.4,1701,20.205.36.71,1701,,
udp,175.103.43.90,1701,10.0.0.4,1701,,
tcp,192.168.55.150,49608,34.107.243.93,443,established,
tcp,34.105.86.190,46049,10.0.0.4,7502,established,
